date,timestamp,query,value,extracted_value
"Jan 1, 2021",1609459200,BTC,34,34
"Jan 2, 2021",1609545600,BTC,41,41
"Jan 3, 2021",1609632000,BTC,74,74
"Jan 4, 2021",1609718400,BTC,52,52
"Jan 5, 2021",1609804800,BTC,29,29
"Jan 6, 2021",1609891200,BTC,41,41
"Jan 7, 2021",1609977600,BTC,50,50
"Jan 8, 2021",1610064000,BTC,69,69
"Jan 9, 2021",1610150400,BTC,60,60
"Jan 10, 2021",1610236800,BTC,54,54
"Jan 11, 2021",1610323200,BTC,79,79
"Jan 12, 2021",1610409600,BTC,55,55
"Jan 13, 2021",1610496000,BTC,44,44
"Jan 14, 2021",1610582400,BTC,58,58
"Jan 15, 2021",1610668800,BTC,46,46
"Jan 16, 2021",1610755200,BTC,39,39
"Jan 17, 2021",1610841600,BTC,38,38
"Jan 18, 2021",1610928000,BTC,44,44
"Jan 19, 2021",1611014400,BTC,29,29
"Jan 20, 2021",1611100800,BTC,35,35
"Jan 21, 2021",1611187200,BTC,60,60
"Jan 22, 2021",1611273600,BTC,54,54
"Jan 23, 2021",1611360000,BTC,33,33
"Jan 24, 2021",1611446400,BTC,40,40
"Jan 25, 2021",1611532800,BTC,36,36
"Jan 26, 2021",1611619200,BTC,42,42
"Jan 27, 2021",1611705600,BTC,47,47
"Jan 28, 2021",1611792000,BTC,26,26
"Jan 29, 2021",1611878400,BTC,43,43
"Jan 30, 2021",1611964800,BTC,42,42
"Jan 31, 2021",1612051200,BTC,47,47
"Feb 1, 2021",1612137600,BTC,38,38
"Feb 2, 2021",1612224000,BTC,26,26
"Feb 3, 2021",1612310400,BTC,34,34
"Feb 4, 2021",1612396800,BTC,33,33
"Feb 5, 2021",1612483200,BTC,29,29
"Feb 6, 2021",1612569600,BTC,44,44
"Feb 7, 2021",1612656000,BTC,46,46
"Feb 8, 2021",1612742400,BTC,51,51
"Feb 9, 2021",1612828800,BTC,100,100
"Feb 10, 2021",1612915200,BTC,45,45
"Feb 11, 2021",1613001600,BTC,62,62
"Feb 12, 2021",1613088000,BTC,82,82
"Feb 13, 2021",1613174400,BTC,59,59
"Feb 14, 2021",1613260800,BTC,59,59
"Feb 15, 2021",1613347200,BTC,52,52
"Feb 16, 2021",1613433600,BTC,55,55
"Feb 17, 2021",1613520000,BTC,67,67
"Feb 18, 2021",1613606400,BTC,57,57
"Feb 19, 2021",1613692800,BTC,71,71
"Feb 20, 2021",1613779200,BTC,97,97
"Feb 21, 2021",1613865600,BTC,76,76
"Feb 22, 2021",1613952000,BTC,85,85
"Feb 23, 2021",1614038400,BTC,100,100
"Feb 24, 2021",1614124800,BTC,84,84
"Feb 25, 2021",1614211200,BTC,69,69
"Feb 26, 2021",1614297600,BTC,53,53
"Feb 27, 2021",1614384000,BTC,24,24
"Feb 28, 2021",1614470400,BTC,59,59
"Mar 1, 2021",1614556800,BTC,61,61
